title,url,summary,full_text
Tea,https://en.wikipedia.org/wiki/Tea,"Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which  originated in the borderlands of south-western China, north-east India and northern Myanmar. Tea is also made, but rarely, from the leaves of Camellia taliensis. After plain water, tea is the most widely consumed drink in the world. There are many types of tea; some have a cooling, slightly bitter, and astringent flavour, while others have profiles that include sweet, nutty, floral, or grassy notes. Tea has a stimulating effect in humans, primarily due to its caffeine content.
An early credible record of tea drinking dates to the third century AD, in a medical text written by Chinese physician Hua Tuo. It was popularised as a recreational drink during the Chinese Tang dynasty, and tea drinking spread to other East Asian countries. Portuguese priests and merchants introduced it to Europe during the 16th century. During the 17th century, drinking tea became fashionable among the British, who later started to plant tea on a large scale in India, where it had previously been used only as a medicine.
The term herbal tea refers to drinks not made from Camellia sinensis. They are the infusions of fruit, leaves, or other plant parts, such as steeps of rosehip, chamomile, or rooibos. These may be called tisanes or herbal infusions to prevent confusion with tea made from the tea plant.","Tea is an aromatic beverage prepared by pouring hot or boiling water over cured or fresh leaves of Camellia sinensis, an evergreen shrub native to East Asia which originated in the borderlands of south-western China, north-east India and northern Myanmar. Tea is also made, but rarely, from the leaves of Camellia taliensis. After plain water, tea is the most widely consumed drink in the world. There are many types of tea; some have a cooling, slightly bitter, and astringent flavour, while others have profiles that include sweet, nutty, floral, or grassy notes. Tea has a stimulating effect in humans, primarily due to its caffeine content. An early credible record of tea drinking dates to the third century AD, in a medical text written by Chinese physician Hua Tuo. It was popularised as a recreational drink during the Chinese Tang dynasty, and tea drinking spread to other East Asian countries. Portuguese priests and merchants introduced it to Europe during the 16th century. During the 17th century, drinking tea became fashionable among the British, who later started to plant tea on a large scale in India, where it had previously been used only as a medicine. The term herbal tea refers to drinks not made from Camellia sinensis. They are the infusions of fruit, leaves, or other plant parts, such as steeps of rosehip, chamomile, or rooibos. These may be called tisanes or herbal infusions to prevent confusion with tea made from the tea plant. Etymology The etymology of the various words for tea reflects the history of transmission of tea drinking and trade from China. Nearly all of the words for tea worldwide fall into three broad groups: te, cha and chai, present in English as tea, cha or char, and chai. The earliest of the three to enter English is cha, which came in the 1590s via the Portuguese, who traded in Macao and picked up the Cantonese pronunciation of the word. The more common tea form arrived in the 17th century via the Dutch, who acquired it either indirectly from the Malay teh, or directly from the tê pronunciation in Min Chinese. The third form chai (meaning ""spiced tea"") originated from a northern Chinese pronunciation of cha, which travelled overland to Central Asia and Persia where it picked up a Persian ending yi. The Chinese word for tea itself was perhaps derived from the non-Sinitic languages of the botanical homeland of the tea plant in south-west China (or Burma), possibly from an archaic Austro-Asiatic root word *la, meaning ""leaf"". Origin and history Botanical origin Tea plants are native to East Asia and the probable center of origin of tea is near the source of the Irrawaddy River from where it spread out fan-wise into southeast China, Indo-China and Assam. The natural home of the tea plant is considered to be within the comparatively small fan-shaped area between Nagaland, Manipur and Mizoram along the Burma frontier in the west, through China as far as the Zhejiang Province in the east,..."
Blueberry tea,https://en.wikipedia.org/wiki/Blueberry_tea,"The blueberry tea  is a cocktail made from tea and liqueurs. It is served hot and could be considered a variant on the hot toddy. Its name derives from its fruity taste, which some compare to blueberries.","The blueberry tea is a cocktail made from tea and liqueurs. It is served hot and could be considered a variant on the hot toddy. Its name derives from its fruity taste, which some compare to blueberries. Preparation A blueberry tea is usually served in a brandy snifter, to concentrate and hold the alcohol fumes released by the tea's heat. Ingredients are typically 1 oz. Grand Marnier liqueur 1 oz. Amaretto liqueur Hot Orange pekoe tea to taste. Preparation is simple -- Add both liqueurs to the snifter and then fill with hot tea to taste. Swaddle the brandy snifter in serviettes or a cloth to protect the hands. Some suggest a sugared rim, or adding sugar to the tea, or a lemon garnish. Variations Made with Earl Grey tea instead of Orange pekoe. Made with actual blueberry fruit tea or other herbal tea, and less Grand Marnier Full moon #2, blueberry tea without the tea See also List of cocktails Hot toddy == References =="
Camellia sinensis,https://en.wikipedia.org/wiki/Camellia_sinensis,"Camellia sinensis is a species of evergreen shrub or small tree in the flowering plant family Theaceae. Its leaves, leaf buds, and stems are used to produce tea. Common names include tea plant, tea shrub, and tea tree (unrelated to Melaleuca alternifolia, the source of tea tree oil, or the genus Leptospermum commonly called tea tree).
White tea, yellow tea, green tea, oolong, dark tea (which includes pu-erh tea) and black tea are all made from two of the five varieties which form the main crops now grown, C. sinensis var. sinensis and C. s. var. assamica, but are processed differently to attain varying levels of oxidation with black tea being the most oxidized and white being the least. Kukicha (twig tea) is also made from C. sinensis, but uses twigs and stems rather than leaves.","Camellia sinensis is a species of evergreen shrub or small tree in the flowering plant family Theaceae. Its leaves, leaf buds, and stems are used to produce tea. Common names include tea plant, tea shrub, and tea tree (unrelated to Melaleuca alternifolia, the source of tea tree oil, or the genus Leptospermum commonly called tea tree). White tea, yellow tea, green tea, oolong, dark tea (which includes pu-erh tea) and black tea are all made from two of the five varieties which form the main crops now grown, C. sinensis var. sinensis and C. s. var. assamica, but are processed differently to attain varying levels of oxidation with black tea being the most oxidized and white being the least. Kukicha (twig tea) is also made from C. sinensis, but uses twigs and stems rather than leaves. Names The name sinensis is a compound meaning ""from China"" in Botanical Latin. The two parts are sin from Latin meaning China and -ensis the suffix meaning place of origin. The generic name Camellia is taken from the Latinized name of Rev. Georg Kamel, SJ (1661–1706), a Moravian-born Jesuit lay brother, pharmacist, and missionary to the Philippines. Camellia sinensis is widely known by the common name tea tree, a name in use since 1760. However, it is also used to refer to shrubs or trees of the myrtle family from Australia and New Zealand, most frequently species in Leptospermum or Melaleuca the first usage dating to 1790. Tea trees are also variously called tea-bushes, tea-shrubs, and tea-plants. Description Camellia sinensis is a woody shrub or tree that is typically 1 to 5 m (3.3 to 16.4 ft) tall, but can be as tall as 20 m (66 ft). It is usually trimmed to a height of about 1 m (3.3 ft) with a flat top when in commercial tea plantations. The bark on trunks is smooth and gray with a yellow or brown tone. Young branches are yellow with a gray cast to them while new twigs are red-purple with white hairs. In older trees the trunk reaches as much as 40 cm in diameter. In seedlings the taproot is dominant, but in mature plants the distribution of roots depends upon individual plant characteristics and growing conditions. In areas with shallow soils or high water tables tea bushes will have a shallow, fibrous root system while in areas with deep soils root have been found at depths of 5.5 m. Tea bushes reach peak productivity at ages of 30 to 50 years, but can remain productive for over a century. The leaves are an attractive green and tend to be smaller on cultivated plants than wild ones, ranging in size from 4 to 22 cm (1.5 to 8.5 in) and a width of 2 to 7.7 cm (0.8 to 3.0 in). Their shape is elliptic, oblong-elliptic, or oblong, and they have a leathery texture. The upper surface is shining dark green and hairless while the underside is pale green and can be hairless or..."
Camellia taliensis,https://en.wikipedia.org/wiki/Camellia_taliensis,"Camellia taliensis (also known as Yunnan large leaf varietal tea, wild tea, Dali tea, Yunnan broad tea, Fried egg plant and others; 大理茶) is a small species of evergreen shrub whose leaves and leaf buds are used to produce tea.
It is of the genus Camellia of flowering plants in the family Theaceae.
C. taliensis is an important wild relative to the cultivated tea plant Camellia sinensis. It also belongs to the same section Thea as C. sinensis.
The species is cultivated on many farms in Yunnan province in China and not considered endangered. However, its wild populations are shrinking due to human caused fragmentation of the plant's natural habitat and from the excessive harvesting of the leaves for the tea market.","Camellia taliensis (also known as Yunnan large leaf varietal tea, wild tea, Dali tea, Yunnan broad tea, Fried egg plant and others; 大理茶) is a small species of evergreen shrub whose leaves and leaf buds are used to produce tea. It is of the genus Camellia of flowering plants in the family Theaceae. C. taliensis is an important wild relative to the cultivated tea plant Camellia sinensis. It also belongs to the same section Thea as C. sinensis. The species is cultivated on many farms in Yunnan province in China and not considered endangered. However, its wild populations are shrinking due to human caused fragmentation of the plant's natural habitat and from the excessive harvesting of the leaves for the tea market. Nomenclature and taxonomy 'C. taliensis' comes from the old name of Dali, Tali, where the plant is from. The plant is also known as Wild tea as it grows wild in forests, Dali tea again after the town, and Fried egg plant because of the morphology of the flower. Description Camellia taliensis can grow from 2-8m tall and has five locules per ovary while C. sinensis has three. C. taliensis leaves are abaxially yellow-green and adaxially dark- or yellow-green, and are shiny on both surfaces. The plant's seeds are brown. The flowers are creamy or white with numerous stamens, by chance creating the appearance of a fried egg. It grows primarily in the southwestern section of Yunnan and in neighbouring areas in Thailand and northern Myanmar. C. taliensis has larger leaves than C. sinensis var. sinensis closer to the size of C. sinensis var. assamica. In several chemical composition and morphological comparisons, C. taliensis is also closer to C. sinensis var. assamica than to C. sinensis var. sinensis. However, the closer similarity may also be due to human selection (which causes reduction in genetic diversity) as C. sinensis var. assamica is the tea variety traditionally cultivated in Yunnan. Like C. sinensis, C. taliensis contains both theanine and caffeine. C. taliensis can be easily crossed with C. sinensis, and the resulting crossbred plants are intermediate between species both morphologically and chemically indicating true hybrids. Cultivation The plant was originally used to make tea by mushroom gatherers who took young leaf buds and, with the help of local expertise, they used the dry buds to make black tea ""unlike any others"". C. taliensis is seasonally gathered in early spring when new leaves are produced. C. taliensis is locally used to make white tea, black tea and pu'er tea. Yue Guang Bai (月光白 ""Moonlight White"") is a white tea made from the plant. Yunnan pu-erh tea made from C. taliensis can command a much higher price than pu'er made from the more common C. sinensis. References Bibliography Chen, Jin; Wang, Pingsheng; Xia, Yongmei; Xu, Mei; Pei, Shengji (2005). ""Genetic diversity and differentiation of Camellia sinensis L. (cultivated tea) and its wild relatives in Yunnan province of China, revealed by morphology, biochemistry and allozyme studies"". Genetic Resources and Crop Evolution. 52: 41–52...."
Candida theae,https://en.wikipedia.org/wiki/Candida_theae,"Candida theae is a species of yeast in the genus Candida.  The species name means ""tea"".  It was first isolated from Indonesian tea drinks and in Quito from clay pots that contained chicha dating from 680 CE.","Candida theae is a species of yeast in the genus Candida. The species name means ""tea"". It was first isolated from Indonesian tea drinks and in Quito from clay pots that contained chicha dating from 680 CE. References External links Data related to Candida theae at Wikispecies"
Canned tea,https://en.wikipedia.org/wiki/Canned_tea,"Canned tea is a relatively recent method of marketing tea which has been sold traditionally as leaf tea and also, for the last 100 years, in tea bag form. It utilises the canning process to produce a ready made drink. Perceived advantages includes ease of use (minimal or no preparation time) and the possibility of additives (such as flavours or sugar); the disadvantages are the cost of shipment (and therefore the price of the product) and a lack of freshness.","Canned tea is a relatively recent method of marketing tea which has been sold traditionally as leaf tea and also, for the last 100 years, in tea bag form. It utilises the canning process to produce a ready made drink. Perceived advantages includes ease of use (minimal or no preparation time) and the possibility of additives (such as flavours or sugar); the disadvantages are the cost of shipment (and therefore the price of the product) and a lack of freshness. Tea Tea is a beverage made by steeping processed leaves, buds, or twigs of the plant Camellia sinensis in hot water for a few minutes. The processing can include oxidation (called ""fermentation"" in the tea industry), heating, drying and the addition of herbs, flowers, spices and fruits. There are four main types of tea: black, oolong, green, and white. Tea is a natural source of caffeine, theophylline, theanine, and antioxidants; but it has almost no fat, carbohydrates, or protein Tea has been consumed in China for around 5,000 years. Canning Canning is a method of preserving food by heating it to a temperature that destroys contaminating microorganisms, and then sealing it in air-tight jars, cans, or pouches. Patented in the UK in 1810, this method of preservation was not used extensively for soft drinks until the pull tab version was patented in the USA in 1963. History In 1981, the first canned tea product, unsweetened oolong, was introduced in Japan by Ito En. The introduction very quickly led to more than one hundred variations, offered both in cans and in bottles. The oolong variety was well suited as the canned tea proved stable even at temperatures up to 50° - 60 °C in vending machines. The tea also appealed to consumers inclined to use vending machines for convenient access ""on the street."" Further, there are perceived health benefits to canned tea, as opposed to other canned soft drinks, due to tea's portrayal as an aid to maintaining a slim body build. The introduction of oolong was quickly followed by the development of canned teas based on other tea varieties, including green and black teas. Additional flavor options also included the addition of sweeteners, sugar, milk and lemon, along with other fruit flavors. By 1991, the canned tea market was grossing US$325 million annually, after having doubled in each of the ten years since its introduction. Types Black tea Black tea, the most oxidized of the four main varieties, is generally stronger in flavor and contains more caffeine than the less oxidized varieties. It is the traditional tea of the western world where it is known simply as ""tea"". Iced tea (unsweetened) is an alternative to carbonated soft drinks, popular in many countries especially the hotter ones. One study has demonstrated that unsweetened canned black tea has a neutral to beneficial effect on dental health. Iced tea (sweetened) is popular mainly in the southern United States where it is ubiquitous and available freshly made, in bottles and cans or at self-serve..."
Cha Gordo,https://en.wikipedia.org/wiki/Cha_Gordo,Cha Gordo (Portuguese: Chá Gordo; Chinese: 肥茶; lit. 'Fat Tea') is a culinary tradition amongst the Macanese community in Macau that is likened to high tea.,"Cha Gordo (Portuguese: Chá Gordo; Chinese: 肥茶; lit. 'Fat Tea') is a culinary tradition amongst the Macanese community in Macau that is likened to high tea. History Historically, families with Portuguese heritage in Macau would host a Cha Gordo for a number of occasions, including Catholic holidays, christening, or birthdays, but it can be held for any reason. Some families, historically, would even host one on a weekly basis. A Cha Gordo would take place following a Macanese wedding, instead of the elaborate banquet seen in Chinese weddings. Composition Cha Gordos are noted to be elaborate, consisting of 12 dishes or more. Cha Gordos typically start in the mid-afternoon, in order to allow the children to eat, and allow the adults to continue on with the entertainment, as the children go to bed. Some of the dishes included in a Cha Gordo include Bolinhos de bacalhau, Minchi, Sopa de lacassá, and Tacho. Present day Due to cramped living conditions in modern-day Macau, Cha Gordo has become a much rarer affair, but they have been held as community events on a regular basis (such as on Christmas), in an effort to preserve Macanese culture. == References =="
Compressed tea,https://en.wikipedia.org/wiki/Compressed_tea,"Compressed tea, called tea bricks, tea cakes or tea lumps, and tea nuggets according to the shape and size, are blocks of whole or finely ground black tea, green tea, or post-fermented tea leaves that have been packed in molds and pressed into block form. This was the most commonly produced and used form of tea in ancient China prior to the Ming Dynasty. Although tea bricks are less commonly produced in modern times, many post-fermented teas, such as pu-erh, are still commonly found in bricks, discs, and other pressed forms. Tea bricks can be made into beverages like tea or eaten as food, and were also used in the past as a form of currency.","Compressed tea, called tea bricks, tea cakes or tea lumps, and tea nuggets according to the shape and size, are blocks of whole or finely ground black tea, green tea, or post-fermented tea leaves that have been packed in molds and pressed into block form. This was the most commonly produced and used form of tea in ancient China prior to the Ming Dynasty. Although tea bricks are less commonly produced in modern times, many post-fermented teas, such as pu-erh, are still commonly found in bricks, discs, and other pressed forms. Tea bricks can be made into beverages like tea or eaten as food, and were also used in the past as a form of currency. Production In ancient China, compressed teas were usually made with thoroughly dried and ground tea leaves that were pressed into various bricks or other shapes, although partially dried and whole leaves were also used. Some tea bricks were also mixed with binding agents such as flour, blood, or manure to better preserve their form so they could withstand physical use as currency. Newly formed tea bricks were then left to cure, dry, and age prior to being sold or traded. Tea bricks were preferred in Asian trade prior to the 19th century, since they were more compact and less susceptible to physical damage than loose leaf tea. This was important during transportation over land by caravans on the Tea Horse Road. Tea bricks are still currently manufactured for drinking, as in pu-erh teas, as well as for souvenirs and novelty items, though most compressed teas produced in modern times are usually made from whole leaves. The compressed tea can take various traditional forms, many of them still being produced. A dome-shaped nugget of 100 g (standard size) is simply called tuóchá (沱茶), which is translated several ways, sometimes as ""bird's nest tea"" or ""bowl tea"". A small dome-shaped nugget with a dimple underneath just enough to make one pot or cup of tea is called a xiǎo tuóchá (小沱茶; the first word meaning 'small') which usually weighs 3 g–5 g. A larger piece around 357 g, which may be a disc with a dimple, is called bǐngchá (饼茶, literally 'biscuit tea' or 'cake tea'). A large, flat, square brick is called fāngchá (方茶, literally 'square tea'). To produce a tea brick, ground or whole tea is first steamed, then placed into one of a number of types of press and compressed into a solid form. Such presses may leave an intended imprint on the tea, such as an artistic design or simply the pattern of the cloth with which the tea was pressed. Many powdered tea bricks are moistened with rice water in pressing to assure that the tea powder sticks together. The pressed blocks of tea are then left to dry in storage until a suitable degree of moisture has evaporated. Although the Chinese regard it as an inferior product, [tea bricks are] greatly esteemed by the Tibetans for [their] powerful flavor, which..."
Tea culture,https://en.wikipedia.org/wiki/Tea_culture,"Tea culture is the culture around the preparation and drinking of tea and the private and social settings in which this occurs.
Tea plays an important role in some countries. It is commonly consumed at social events, and many cultures have created intricate formal ceremonies for these events. East Asian tea ceremonies, with their roots in the Chinese tea culture, differ slightly among East Asian countries, such as the Japanese or Korean variants. Tea may differ widely in preparation, such as in Tibet, where the beverage is commonly brewed with salt and butter. Tea may be drunk in small private gatherings (tea parties), in public (tea houses designed for social interaction), and in everyday settings such as homes and workplaces.
Afternoon tea is a British custom with widespread appeal. The British Empire spread an interpretation of tea to its dominions and colonies, including modern-day regions of Hong Kong, India, and Pakistan, which had pre-existing tea customs, as well as regions such as East Africa (modern-day Kenya, Tanzania, and Uganda), the Pacific (Australia and New Zealand), and Canada, which did not have tea customs, or countries that received high British immigration, such as Chile. The tea room or teahouse is found in the US, Ireland, and many Commonwealth cities.

Different regions favor different varieties of tea—white, yellow, green, oolong, black, or post-fermented (dark)—and use different flavorings, such as herbs, milk, or sugar. The temperature and strength of the tea likewise vary widely.","Tea culture is the culture around the preparation and drinking of tea and the private and social settings in which this occurs. Tea plays an important role in some countries. It is commonly consumed at social events, and many cultures have created intricate formal ceremonies for these events. East Asian tea ceremonies, with their roots in the Chinese tea culture, differ slightly among East Asian countries, such as the Japanese or Korean variants. Tea may differ widely in preparation, such as in Tibet, where the beverage is commonly brewed with salt and butter. Tea may be drunk in small private gatherings (tea parties), in public (tea houses designed for social interaction), and in everyday settings such as homes and workplaces. Afternoon tea is a British custom with widespread appeal. The British Empire spread an interpretation of tea to its dominions and colonies, including modern-day regions of Hong Kong, India, and Pakistan, which had pre-existing tea customs, as well as regions such as East Africa (modern-day Kenya, Tanzania, and Uganda), the Pacific (Australia and New Zealand), and Canada, which did not have tea customs, or countries that received high British immigration, such as Chile. The tea room or teahouse is found in the US, Ireland, and many Commonwealth cities. Different regions favor different varieties of tea—white, yellow, green, oolong, black, or post-fermented (dark)—and use different flavorings, such as herbs, milk, or sugar. The temperature and strength of the tea likewise vary widely. East Asia China Due to the importance of tea in Chinese society and culture, tea houses can be found in most Chinese neighborhoods and business districts. Chinese-style tea houses offer dozens of varieties of hot and cold tea concoctions. They also serve a variety of tea-friendly or tea-related snacks. Beginning in the late afternoon, the typical Chinese tea house quickly becomes packed with students and business people, and later at night, it plays host to insomniacs and night owls simply looking for a place to relax. There are formal tea houses. They provide a range of Chinese and Japanese tea leaves, tea-making accoutrements, and a better class of snack food. Finally, some tea vendors specialize in selling tea leaves, pots, and other related paraphernalia. Tea is an essential item in Chinese culture and is mentioned in the seven necessities of (Chinese) daily life. During the Tang dynasty, Lu Yu found that the plants that grow under shady hillsides produced poor-quality tea, often resulting in abdominal distension. The common tea-making methods at the time were boiling the water and tea leaves simultaneously. The water was heated in a cauldron on a brazier to the first boil level, described as ""fish eyes."" Appropriate salts were added to the water to enhance the flavor of the tea. In China, at least as early as the Tang dynasty, tea was an object of connoisseurship; in the Song dynasty, formal tea-tasting parties were held, comparable to modern wine tastings. As in contemporary wine tastings, the proper vessel was necessary, and much attention was paid..."
Etymology of tea,https://en.wikipedia.org/wiki/Etymology_of_tea,"The etymology of the various words for tea reflects the history of transmission of tea drinking culture and trade from China to countries around the world. In this context, tea generally refers to the plant Camellia sinensis and/or the aromatic beverage prepared by pouring hot boiling water over the leaves. Most of the words for tea worldwide originate from Chinese pronunciations of the word 茶, and they fall into three broad groups: te, cha and chai, present in English as tea, cha or char, and chai.  The earliest of the three to enter English is cha, which came in the 1590s via the Portuguese, who traded in Macao and picked up the Cantonese pronunciation of the word. The more common tea form arrived in the 17th century via the Dutch, who acquired it either indirectly from teh in Malay, or directly from the tê pronunciation in Min Chinese. The third form chai (meaning ""spiced tea"") originated from the Chinese pronunciation of cha, which travelled overland to India via the Tea Horse Road and to Central Asia via the Silk Road where it picked up a Persian ending yi, and entered English via Hindustani in the 20th century.
The different regional pronunciations of the word in China are believed to have arisen from the same root, which diverged due to sound changes through the centuries. The written form of the Chinese word for tea was created in the mid-Tang dynasty by modifying the character 荼 pronounced tu, meaning a ""bitter vegetable"". Tu was used to refer to a variety of plants in ancient China, and acquired the additional meaning of ""tea"" by the Han dynasty. The Chinese word for tea was likely ultimately derived from the non-Sinitic languages of the botanical homeland of the tea plant in southwest China (or Burma), possibly from an archaic Austro-Asiatic root word *la, meaning ""leaf"".","The etymology of the various words for tea reflects the history of transmission of tea drinking culture and trade from China to countries around the world. In this context, tea generally refers to the plant Camellia sinensis and/or the aromatic beverage prepared by pouring hot boiling water over the leaves. Most of the words for tea worldwide originate from Chinese pronunciations of the word 茶, and they fall into three broad groups: te, cha and chai, present in English as tea, cha or char, and chai. The earliest of the three to enter English is cha, which came in the 1590s via the Portuguese, who traded in Macao and picked up the Cantonese pronunciation of the word. The more common tea form arrived in the 17th century via the Dutch, who acquired it either indirectly from teh in Malay, or directly from the tê pronunciation in Min Chinese. The third form chai (meaning ""spiced tea"") originated from the Chinese pronunciation of cha, which travelled overland to India via the Tea Horse Road and to Central Asia via the Silk Road where it picked up a Persian ending yi, and entered English via Hindustani in the 20th century. The different regional pronunciations of the word in China are believed to have arisen from the same root, which diverged due to sound changes through the centuries. The written form of the Chinese word for tea was created in the mid-Tang dynasty by modifying the character 荼 pronounced tu, meaning a ""bitter vegetable"". Tu was used to refer to a variety of plants in ancient China, and acquired the additional meaning of ""tea"" by the Han dynasty. The Chinese word for tea was likely ultimately derived from the non-Sinitic languages of the botanical homeland of the tea plant in southwest China (or Burma), possibly from an archaic Austro-Asiatic root word *la, meaning ""leaf"". Origins The pronunciations of the words for ""tea"" worldwide mostly fall into the three broad groups: te, cha and chai. The exceptions are those in some languages from Southwest China and Myanmar, the botanical homeland of the tea plant. Examples are la (meaning tea purchased elsewhere) and miiem (wild tea gathered in the hills) from the Wa people of northeast Burma and southwest Yunnan, letpet in Burmese and meng in Lamet meaning ""fermented tea leaves"", tshuaj yej in Hmong language as well as miang in Thai (""fermented tea""). These languages belong to the Austro-Asiatic, Tibeto-Burman, Hmong-Mien, and Tai families of languages now found in South East Asia and southwest of China. Scholars have suggested that the Austro-Asiatic languages may be the ultimate source of the word tea, including the various Chinese words for tea such as tu, cha and ming. Cha for example may have been derived from an archaic Austro-Asiatic root word *la (Proto-Austroasiatic: *slaʔ, cognate with Proto-Vietic *s-laːʔ), meaning ""leaf"", while ming may be from the Mon–Khmer meng (fermented tea leaves). The Sinitic, Tibeto-Burman and Tai speakers who came into contact with the Austro-Asiatic speakers then borrowed their..."
